mail;phishing
"
>>> Tim Peters wrote
> We've not only reduced the f-p and f-n rates in my test runs, we've also
> made the score distributions substantially sharper.  This is bad news for
> Greg, because the non-existent ""middle ground"" is becoming even less
> existent :Well, I've finally got around to pulling down the SF code. Starting
with it, and absolutely zero local modifications, I see the following:Ham distribution for all runs:
* = 589 items
  0.00 35292 ************************************************************
  2.50    36 *
  5.00    21 *
  7.50    12 *
 10.00     6 *
 12.50     9 *
 15.00     6 *
 17.50     3 *
 20.00     8 *
 22.50     5 *
 25.00     3 *
 27.50    18 *
 30.00     9 *
 32.50     1 *
 35.00     4 *
 37.50     3 *
 40.00     0 
 42.50     3 *
 45.00     3 *
 47.50     4 *
 50.00     9 *
 52.50     5 *
 55.00     5 *
 57.50     3 *
 60.00     4 *
 62.50     2 *
 65.00     2 *
 67.50     6 *
 70.00     1 *
 72.50     3 *
 75.00     2 *
 77.50     4 *
 80.00     3 *
 82.50     3 *
 85.00     6 *
 87.50     8 *
 90.00     4 *
 92.50     8 *
 95.00    15 *
 97.50   441 *Spam distribution for all runs:
* = 504 items
  0.00   393 *
  2.50    17 *
  5.00    18 *
  7.50    12 *
 10.00     4 *
 12.50     6 *
 15.00    11 *
 17.50    10 *
 20.00    10 *
 22.50     5 *
 25.00     3 *
 27.50    19 *
 30.00     8 *
 32.50     2 *
 35.00     0 
 37.50     1 *
 40.00     5 *
 42.50     5 *
 45.00     7 *
 47.50     2 *
 50.00     5 *
 52.50     1 *
 55.00     9 *
 57.50    11 *
 60.00     6 *
 62.50     4 *
 65.00     3 *
 67.50     5 *
 70.00     7 *
 72.50     9 *
 75.00     2 *
 77.50    13 *
 80.00     3 *
 82.50     7 *
 85.00    15 *
 87.50    16 *
 90.00    11 *
 92.50    16 *
 95.00    45 *
 97.50 30226 ************************************************************
My next (current) task is to complete the corpus I've got - it's currently
got ~ 9000 ham, 7800 spam, and about 9200 currently unsorted. I'm tossing 
up using either hammie or spamassassin to do the initial sort  - previously
I've used various forms of 'grep' for keywords and a little gui thing to 
pop a message up and let me say 'spam/ham', but that's just getting too, too
tedious.I can't make it available en masse, but I will look at finding some of
the more 'interesting' uglies. One thing I've seen (consider this 
'anecdotal' for now) is that the 'skip' tokens end up in a _lot_ of the 
f-ps.Anthony
";True
"re : weather course vince , i ' ve distributed the info on the course . gary taylor , the head of marketing said that there were perhaps two people he ' d like to send , and he thought that the teachers would be able to benefit from having people from the weather derivatives desk in attendance , but that the price of $ 1100 a person was too steep . gary ( being the head of marketing that he is ) would like to see if there would be some special deal that could be arranged for people from the weather desk , but he doesn ' t want to cross the line . joe - - - - - original message - - - - - from : kaminski , vince - 86256517 - 749759 @ enron . com ] sent : monday , february 19 , 2001 7 : 17 pm to : joseph hrgovcic / hou / ect @ enron cc : kaminski , vince subject : re : weather course joe , this is the most recent offer from lacima ( weather derivatives course ) . what do you think ? vince - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 02 / 19 / 2001 07 : 15 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - "" julie "" on 02 / 19 / 2001 03 : 19 : 45 pm please respond to "" julie "" to : "" vincejkaminski "" cc : subject : re : weather course vince , enron is fine ( although i think we have to pay for the hyatt anyway ) . good discount ( i have a feeling that my idea of a good discount and the weather desk ' s idea is probably different ? ) : for the one day , $ 1100 per person . if you think that there will be around 10 people or more , then we can offer a day rate , regardless of the number of people . thanks vince julie ps - of course when i announced that we were cancelling , people started responding that they wished to attend . ugh ! - - - - - original message - - - - - from : vince . j . kaminski @ enron . com > to : julie > cc : vince . j . kaminski @ enron . com > sent : friday , february 16 , 2001 4 : 05 pm subject : re : weather course julie , enron location makes more sense . no reason to pay for the hotel . also , i think that one day makes more sense . i contacted the weather desk about including other people at the training course . i think that they would be interested if they got a good discount . vince "" julie "" > > on 02 / 16 / 2001 09 : 39 : 37 am please respond to "" julie "" > > to : > > cc : subject : re : weather course vince , great . just to let you know , we decided not to wait on the indecisive ones , and postponed the open course . it ' s yours , whatever you want : 1 day ( specific to what you feel will be of the most benefit ) , 2 days , hyatt or enron , or not at all . i hope this doesn ' t cause problems for you . special deal , for sure . i owe my godfather . julie - - - - - original message - - - - - from : vince . j . kaminski @ enron . com > to : julie cc : joseph . hrgovcic @ enron . com > sent : thursday , february 15 , 2001 3 : 16 pm subject : re : weather course julie , that ' s definitely an option . we can provide the room . maybe we can cut with you a special deal for enron and increase the # of people attending . i am forwarding your message to our weather desk . vince joe , what do you think about it ? vince "" julie "" > > on 02 / 15 / 2001 08 : 20 : 24 am please respond to "" julie "" > > to : "" vincejkaminski "" > > cc : subject : weather course vince , we just wanted to let you know that we only have 3 people signed up for the weather derivatives course ( all from enron ) so far . we have a couple more that have expressed strong interest , but we are awaiting their final decision . if no one else signs up , chris and les thought that you guys could probably get through the first day pretty easily , and thus thought it may be an option to teach just the 2 nd day material ( pricing ) only at enron ( doing it at the hyatt is an option as well but the room might be on the large side ) ? we would obviously reimburse you for the day not taught . we can teach both days as well , but thought you may want to save some time . i just wanted to give you some time to think about it . we will know where we stand on final numbers by next wednesday . julie";True
"scil 10 call for papers . student conference in linguistics 10 special theme : linguistics in cognitive science keynote speaker : lila gleitman june 6 - 7 , 1998 northwestern university the 10th annual student conference in linguistics will be held at northwestern university in june 1998 . scil is a student-run conference run which aims to bring together graduate students from around the world to present their research and build connections with other students . the proceedings are published in the mit working papers in linguistics . we invite original , unpublished work in any area of linguistics . we would particularly like to encourage submissions which border other disciplines , in keeping with the conference theme . this includes , but is not limited to , psycholinguistics , computational linguistics , anthropological linguistics , speech perception and language acquisition . guidelines for submission : please submit ten copies of a one-page , 500 - word , anonymous abstract for a twenty-minute paper ( optionally , one additional page for data and / or references may be appended ) , along with a 3 "" by 5 "" card with : ( 1 ) your name , ( 2 ) your affiliation , ( 3 ) your address , phone number , and e-mail address , ( 4 ) the title of the paper , and ( 5 ) an indication of which subdivision of linguistics best describes the topic ( e . g . , phonetics , phonology , syntax , semantics , psycholinguistics , anthropological linguistics , computational linguistics , etc . ) the abstract should be as specific as possible , and it should clearly indicate the data covered , outline the arguments presented , and include any broader implications of the work . the deadline for receipt of abstracts is friday march 13 . send abstracts to : scil 10 department of linguistics northwestern university 2016 sheridan road evanston , il 60208 e - mail abstracts will be accepted in ascii only . the email message should also contain your name , affiliation , address , phone number , and e-mail address , the title of your paper , and the area of linguistics within which it falls . email abstracts should be submitted to scil @ ling . nwu . edu by 5pm on march 13 . further information is available at http : / / www . ling . nwu . edu / ~ scil . questions can be directed to scil @ ling . nwu . edu .";True
tw posting & bidding procedures / 4 / 26 / 01 draft - - - - - - - - - - - - - - - - - - - - - - forwarded by sharon solon / et & s / enron on 05 / 23 / 2001 02 : 54 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - from : sharon solon 05 / 23 / 2001 02 : 28 pm to : steven harris / et & s / enron @ enron , drew fossum / et & s / enron , tony pryor / et & s / enron @ enron , kimberly watson / et & s / enron , lorraine lindberg / et & s / enron , michele loughead / enron @ enronxgate , tk lohman / et & s / enron , jeffery fawcett / enron @ enronxgate , lindy donoho / et & s / enron , mary darveaux / et & s / enron @ enron , mary kay miller / et & s / enron @ enron , maria pavlou / et & s / enron , dari dornan / et & s / enron @ enron , steve kirk / et & s / enron cc : glen hass / et & s / enron @ enron , audrey robertson / et & s / enron , emily sellers / et & s / enron , jan cobden / et & s / enron , barbara bischoff / et & s / enron @ enron , ann smith / et & s / enron subject : tw posting & bidding procedures / 4 / 26 / 01 draft a meeting has been scheduled for tuesday , may 29 th at 3 : 00 in the video ( houston 49 c 2 , omaha 7 c 2 ) to review and finalize the 4 / 26 / 01 draft prepared by susan scott . ( document attached ) i have faxed a copy of this draft to kim watson and her people . also faxed a copy to steve harris and drew fossum .;True
"URL: http://www.newsisfree.com/click/-1,8390119,1717/
Date: 2002-09-30T11:09:23+01:00[IMG: http://www.newsisfree.com/Images/fark/smh.com.au.gif ([smh.com.au])]
";True
defs purchase of teco pipeline effective february 1 , 2001 duke energy field services ( defs ) will begin operating teco pipeline under the name duke energy guadalupe pipeline inc . we are attempting to make this transition as seamless as possible with a minimum of changes . the only meter number change will be at the el paso field services waha header . in the past shippers have nominated at 00501723 whereas starting february lst you will nominate at 8000007 . for the time being , use the same nomination form you have used in the past . be sure to include both upstream and downstream contract numbers on your this form . attached is a file which will list , with a description , all the meters on the duke energy guadalupe pipeline . operational contacts are as follows : eileen ponton - senior representative marketing operations ( responsible for daily business ) office nbr : 713 - 627 - 6206 pager : 800 - 976 - 2802 fax : 713 - 627 - 6273 donna spencer - manager marketing operations ( will back up eileen ) office nbr : 713 - 627 - 6224 fax : 713 - 627 - 6273 gas control : 888 - 204 - 1781 ( staffed 24 hours / day , 7 days / week ) attached is a list of all contacts for the duke energy guadalupe pipeline . please remember february lst noms are to be faxed to defs , attn : guadalupe pipeline , at 713 - 627 - 6273 . if i can be of any further help , please do not hesitate to call me . ( see attached file : shipper meter list . xls ) ( see attached file : degp contact list . doc ) - shipper meter list . xls - degp contact list . doc;True
epe lending / day - ahead short for 8 / 15 per el paso lending agreement - we will be short a total of 50 mw on peak at palo verde tomorrow : 25 mw under stwbom , 25 mw under stsw . following are the deal numbers . you will need to purchase energy to cover this short in the real time market . remember to purchase under the same desk in which you are short megawatts . then sell , under the same desk , back to el paso at $ 0 to complete the buy - resale . 730961 - stwbom buys epe 25 mw @ $ 49 730963 - stwbom sells stsw 25 mw @ $ 49 730973 - stsw buys epe 25 mw @ $ 49 we ' re also short at spl 5 , 25 mw on peak at a day - ahead price of $ 43 . 73 . imbalance deal is 730903 . please let me know if you have questions . thanks , kate;True
"retail markets conference i would like to invite you to participate in a conference on "" retail participation in competitive power markets "" to be held at stanford university on june 21 - 22 , 2001 . although california and other regional markets will likely be introducing some demand - response programs by june , there is a clear need for continual evaluation of these nascent efforts to transform the market . the conference provides an opportunity to learn from different experiences . this policy research meeting will focus on establishing a foundation for understanding the key concepts and methods for demand response programs and to provide an opportunity for participants to raise questions and recommend directions for additional research and analysis . participants will come from companies , government , and universities . you can obtain more information about the conference by checking under "" meetings "" on our emf website listed below . please let me know if you plan on attending . also , if you would like to make a brief 15 - minute presentation , please let me know your topic and describe it in a few sentences . i will try to choose speakers that will cover the full range of interests represented by this group . researchers should focus on the implications of their analysis for designing demand response programs rather than on the technical details of their methodology . i would also encourage practitioners to discuss their experience in implementing demand response programs or in raising selected issues . thank you , hill huntington hillard g . huntington emf - an international forum on energy and environmental markets voice : ( 650 ) 723 - 1050 408 terman center fax : ( 650 ) 725 - 5362 stanford university email : hillh @ stanford . edu stanford , ca 94305 - 4026 emf website : http : / / www . stanford . edu / group / emf /";True
"> Matthias Saou (matthias@egwn.net) wrote*:
> >As Red Hat does, I really don't recommend trying to upgrade between betas
> >or from a beta to a final release either. Simply backup your /home, /etc
> >(and /root and/or /usr/local/ if needed) then reinstall cleanly, it'll
> >probably save a few hassles and you'll get the cleanest possible system ;-)
> 
> I think this is probably the best way, because I think (maybe) with upgrading you
> do not always automatically get the latest feature enabled in some config file
> because RH would rather take it easy and not update that config file (you get a
> rpmnew instead of rpmsaved file) so they get less calls to support that way.If you dislike Red Hat, why use it ? This was a really bad argument 
against using Red Hat that makes no sense at all.  I for one am GLAD that 
they 
a) don't overwrite your config files on a whim (be GLAD they don't do some 
sort of autodetection and changing crap)
b) tell you on rpm upgrade what config files you should look at because 
formats have changed.Red Hat is not ""taking it easy"" on this, it's putting control in the hands 
of you, the maintainer of the machine.  Don't be lazy.> Anyway, I have tons of media files in /home/* probably 5 to 10 gigs at least, my
> laptop's CDROM takes 700MB at a time (obviously) and compressing media files is
> dumb because they are already compressed. Dumb question: how to backup huge data?
> Network backup to another box? I do not have a box with a tape drive, but maybe box
> with a large HD with much free space could take the backup (oops, I do not have a
> space computer with a large HD with much free space).You don't need to backup /home if you are careful enough.  You did put 
/home on a separate partition, no ? Just install rh80 and tell it to use 
the same partition as /home and tell it to NOT format it, but keep the 
data as is.If you didn't put /home on a separate partition, then you really do need 
to make backups.  Use an nfs or smb mount from another machine to backup 
and rsync straight to the mount, or if that's not possible, rsync over 
ssh.  It's the best way to make backups.> These media files are backed up - ON THE CD'S THEY CAME FROM! It's the other way around - your media files are backups of the CD's they 
came from ;)Good luck,
Thomas
-- The Dave/Dina Project : future TV today ! - http://davedina.apestaart.org/
<-*-                      -*->
You know the shape my breath will take before I let it out
<-*- thomas@apestaart.org -*->
URGent, the best radio on the Internet - 24/7 ! - http://urgent.rug.ac.be/
_______________________________________________
RPM-List mailing list 
http://lists.freshrpms.net/mailman/listinfo/rpm-list
";True
"final voiceless velar fricative - ) stop in response to a query about any language where a final voiceless velar fricative changed regularly to a stop , wayles browne supplied the example of some montenegrin dialects of serbo - croatian . references : pavle ivic ' , die serbokroatischen dialekte , i . , mouton & co . , the hague 1958 , p . 145 , 213 radosav bos "" kovic ' , "" o prirodi , razvitku i zamenicima glasa h u govorima crne gore "" , in his book _ odabrani c "" lanci i rasprave _ , titograd 1978 . the same book has a french summary of a work he wrote together with m . mal / ecki , _ przegla , d dialekto ' w starej czarnogo ' ry _ . pavle ivic ' , ed . , _ fonolos "" ki opisi srpskohrvatskih / hrvatskosrpskih , slovenac "" kih i makedonskih govora obuhvac ' enih ops "" teslovenskim lingvistic "" kim atlasom _ = posebna izdanja knjiga lv , odjeljenje drus "" tvenih nauka knjiga 9 , sarajevo : akademija nauka i umjetnosti bosne i hercegovine 1981 . i have also found that some southern polish dialects exhibit an identical sound change , as discussed in : dejna , karol . 1973 . dialekty polskie . wroc ~ aw - - warsaw - - cracow - - gda ~ sk : ossolineum . for additional comments and suggestions i would like to thank : steven johnson lar martin fosse jakob dempsey kevin donnaile";True
re : let ' s book fountain valley $ 4 . 7 mm this week acctg told me this am that they already booked it in august accounting - $ 4 . 675 mm . - - - - - original message - - - - - from : kitchen , louise sent : wednesday , september 12 , 2001 1 : 46 pm to : sherman , cris cc : calger , christopher f . subject : let ' s book fountain valley $ 4 . 7 mm this week louise kitchen chief operating officer enron americas tel : 713 853 3488 fax : 713 646 2308;True
"hanover gkh merger idea jeff , the following provides background information for your call with mel klein at gkh ( ref : the gkh memo you sent to me ) . over the past year , a number of groups / individuals have assessed the merits of acquiring gkh ' s interest in hanover and all have declined due to strategic as well as financial considerations . please give dick or me a call if you have any further questions . regards , brian - - - - - - - - - - - - - - - - - - - - - - forwarded by brian redmond / hou / ect on 04 / 09 / 2001 09 : 51 am - - - - - - - - - - - - - - - - - - - - - - - - - - - richard lydecker @ enron 04 / 06 / 2001 01 : 53 pm to : brian redmond / hou / ect @ ect cc : subject : hanover gkh merger idea the following is a quick review of the gkh merger analysis and the reasons we do not support it . it is also important to keep in mind that gkh is motivated to create a short - term exit from hanover due to the exigencies of their investment partnership expiration . klein ' s agenda is transparent . 1 . while hanover is a well - managed , growth company , it is not a "" turnaround "" or "" special opportunity "" situation for which application of enron ' s business model would promise the extraordinary returns required in order to justify an investment of $ 3 billion . 2 . as enron ' s stock price has declined , the attractiveness of using it as a currency in any acquisition has decreased . the pe decline also tends to make stock deals more dilutive to enron . 3 . the gkh analysis asserts $ 128 million in initial year synergies and cost savings . however , these benefits are largely predicated upon ( a ) use of the enron nol ( which is an asset enron already owns and can be applied to earnings from any acquisition ) - - $ 55 million and ( b ) speculative economies of scale , i . e . higher revenues and margins and significant sg & a reductions - - $ 38 million . the remaining $ 36 million of cited benefits relates to a proposed decapitalization of hanover from a proposed transfer of assets to a non - recourse trust ( although credit enhancement and operational guarantees would be required ) . achieving these benefits would require obtaining the best possible outcome on a number of accounting , financial and credit issues . however , even if all of these issues were resolved , the economic result is insufficient to justify the transaction . the gkh analysis does not consider transaction , transition or capital costs . 4 . after taking into account the capital expenditures required for hanover to achieve its aggressive growth targets , the company appears to be at best cash flow neutral or slightly cash flow negative for the three years presented in the gkh analysis ( even including all claimed synergies and cost savings ) . 5 . enron and hanover could achieve and share many of the synergistic benefits claimed for the merger in a properly structured joint venture . ( however , this would still require finding an internal enron "" sponsor "" to assume ownership of the relationship ) . 6 . much of hanover ' s growth in the future is predicated upon an aggressive expansion and expenditure program internationally . given enron ' s domestic opportunities , this international orientation in a non - core business is inconsistent with our present strategy . 7 . like gkh , enron has been a seller of our hanover position . an abrupt reversal of strategies could create significant uncertainties and confusion on the street about enron ' s strategic direction . additional background to demonstrate the magnitude of the limitations of the gkh analysis with respect to increasing enron ' s eps : 1 . if pooling of interest accounting is available , any acquisition enron makes of any company that has a lower pe ratio than enron is accretive to enron ' s eps . there is nothing "" remarkable "" about this , it is simple mathematics . 2 . if purchase accounting is required , even if the entire purchase price were accounted as "" goodwill "" and never amortized , this would only replicate the results of pooling of interest . however , in actuality , a significant proportion of the purchase price would have to be allocated to assets ( tangible and intangible such as contracts ) which would produce additional depreciation and amortization expense not mentioned in the gkh analysis . 3 . the largest single "" synergy "" by far in the gkh analysis is usage of enron ' s nol to shield hanover ' s taxable earnings . enron can obtain the benefit of its nol by acquiring any profitable company . gm recorded about $ 3 . 4 billion in income tax expense last year which would offer even greater opportunity to utilitize this enron asset . 4 . the gkh analysis is totally silent with respect to the biggest single immediate risk of a transaction , i . e . the potential negative impact on enron ' s own pe . dick";True
""" project doorstep "" 30 - day reminder 30 days remain prior to the target date specified in an open audit observation . please click on the document link below , review the observation / action step ( s ) / responsible person ( s ) , and provide completion / progress report , updates , and revised target date , if any . note : each e - mail represents a separate audit observation . click on this link to view document - - >";True
"URL: http://boingboing.net/#85513616
Date: Not suppliedThe new ish of Strange Horizons in out, with an interview with Bloodhag, the 
most metal of the all the science fiction metal bands.     Soon, the spotlight comes up again. The lead singer grabs the microphone. 
    ""This is Frank Bellknap Long!"" he yells, and, feverish, launches into a 
    lecture on Long's oeuvre. There can't be more than a handful of people on 
    this earth who could get a beer-sodden thrash crowd to listen to an English 
    Lit lecture. Thirty seconds later, the audience is sufficiently educated, 
    and the guys begin to wail. Jake the singer holds the microphone over his 
    head and belts out the song in a growling voice that's monster-movie low. 
    ""No reason! No corners!"" he shouts. Two minutes later, they're done with 
    the pulps and ready to move on to the New Wave. ""Our next song is about 
    Harlan Ellison!"" Jake bellows, and the geeks, the hipsters, the metalheads, 
    and the drunks let out a howl of mutual joy.     Blï¿½ï¿½dhag -- note the dual umlauts -- hails from Seattle. Describing 
    themselves as ""edu-core,"" the band performs nothing but two-minute thrash 
    tributes to science fiction writers. Between songs, the band pelts the 
    audience with paperback books, quizzes them on book titles, and demands 
    that the audience show their library cards. Their motto: ""The Faster You Go 
    Deaf, the More Time You Have to Read.""  Link[1] Discuss[2] (_Thanks, Zed[3]!_)[1] http://www.strangehorizons.com/2002/20020930/bloodhag.shtml
[2] http://www.quicktopic.com/boing/H/kfFeZdnp8NE
[3] http://www.mememachinego.com/
";True
